2025-06-03 14:11:15 utils.py:l226 INFO	Command: /home/haali/miniconda3/envs/test/bin/ppanggolin all --fasta testingDataset/genomes.fasta.list -c8
2025-06-03 14:11:15 utils.py:l229 INFO	PPanGGOLiN version: 2.2.1
2025-06-03 14:11:15 utils.py:l963 INFO	8 parameters have a non-default value.
2025-06-03 14:11:15 annotate.py:l1792 INFO	Reading testingDataset/genomes.fasta.list the list of genome files
2025-06-03 14:11:15 annotate.py:l1824 INFO	Annotating 51 genomes using 8 cpus...
2025-06-03 14:11:15 synta.py:l867 INFO	Using the metagenomic mode to predict genes for GCF_000092685.1_ASM9268v1_genomic_MANUALLY_FRAGMENTED, as all its contigs are < 20KB in size.
2025-06-03 14:11:31 annotate.py:l1844 INFO	Done annotating genomes
2025-06-03 14:11:31 writeBinaries.py:l1106 INFO	Writing genome annotations...
2025-06-03 14:11:32 writeBinaries.py:l1117 INFO	writing the protein coding gene dna sequences in pangenome...
2025-06-03 14:11:32 writeAnnotations.py:l1007 WARNING	Intergenic GCF_000026905.1_ASM2690v1_genomic_CDS_0010 | GCF_000026905.1_ASM2690v1_genomic_CDS_0011 has no DNA sequence.
2025-06-03 14:11:32 writeAnnotations.py:l1007 WARNING	Intergenic GCF_000026905.1_ASM2690v1_genomic_CDS_0012 | GCF_000026905.1_ASM2690v1_genomic_CDS_0013 has no DNA sequence.
2025-06-03 14:11:32 writeAnnotations.py:l1007 WARNING	Intergenic GCF_000026905.1_ASM2690v1_genomic_CDS_0024 | GCF_000026905.1_ASM2690v1_genomic_CDS_0025 has no DNA sequence.
2025-06-03 14:11:32 writeAnnotations.py:l1007 WARNING	Intergenic GCF_000026905.1_ASM2690v1_genomic_CDS_0025 | GCF_000026905.1_ASM2690v1_genomic_CDS_0026 has no DNA sequence.
2025-06-03 14:11:32 writeAnnotations.py:l1007 WARNING	Intergenic GCF_000026905.1_ASM2690v1_genomic_CDS_0026 | GCF_000026905.1_ASM2690v1_genomic_CDS_0027 has no DNA sequence.
